x,y
328.51257341700426,-853.5873969348726
278.1592059966709,-812.03671065057
230.11740343775,-771.8721702191094
183.57575190327145,-732.4177572266881
138.57589894654888,-693.6972583995888
95.59619663269325,-656.1197827808909
54.24922336231308,-619.3454061151504
14.581050648388771,-583.405526388241
-22.924770121133918,-548.7416180638742
-59.092284374291594,-514.585022340678
-93.4360077419687,-481.3753801812044
-125.90634514960297,-449.15715073651387
-156.45426782353766,-417.9789582372122
-185.45660402787323,-387.439772810223
-212.43350300073948,-358.031001177607
-237.75231900533223,-329.33933333485896
-260.9463056260375,-301.88648158070583
-282.3724538459851,-275.24704515162756
-301.96812627298897,-249.46499339337663
-319.6707881997606,-224.58926241877631
-335.41990613503623,-200.67437092984298
-349.4734532361446,-177.22876594594211
-361.1268486823847,-155.41039451089173
-370.93186137224234,-134.17457461809246
-378.5436189633784,-114.15590346795196
-384.1059631318922,-94.83381694751802
-387.3852235782363,-76.88925158595919
-388.4499918437922,-59.78960257001595
-387.1654239141881,-43.60930556010173
-383.6267190044702,-29.100015096624272
-377.4223710234208,-15.03954124809495
-368.59115621306773,-2.192352433560987
-357.1543487841449,9.321254982592592
-343.27953875183135,19.379712661243616
-325.95678399227654,28.51585908505376
-306.5481345927636,35.94668061258781
-286.08951455378394,41.63716725087435
-263.37277970129486,46.13009610252331
-238.9169066054609,49.37591416802949
-213.5943382831557,51.405394031043244
-188.6061916533148,52.35679630560952
-170.16866738052,52.504027926506254
-150.30595435907028,52.21078381859222
-134.50769134544507,51.68070597890917
-123.57166888483437,51.17390325370956
-112.33476639147443,50.542469069629625
-106.61061937669777,50.17987415958411
-100.82024612855561,49.78610674218306
-94.96706656447269,49.361324420132654
-94.96706656447269,49.361324420132654
-94.96706656447269,49.361324420132654
-94.96706656447269,49.361324420132654
-94.96706656447269,49.361324420132654
-94.96706656447269,49.361324420132654
-94.96706656447269,49.361324420132654
-89.05467040813753,48.905762907706475
-83.08679518482495,48.41973474246339
-71.00015376401288,47.35789917257669
-58.73907486790427,46.179754292034524
-40.091930126496116,44.205529603063965
-14.921373967677829,41.21901655453763
16.70086576523361,36.99496391696673
54.36959050262769,31.355343087994022
91.27720146593785,25.26445808636253
138.81056061682528,16.6982068002893
189.67621485574824,6.74463617096105
248.07129495755902,-5.551993730922633
307.40829889266104,-18.8748559075729
367.19747062317293,-33.03673975274135
435.3760669355343,-49.978798129401376
502.4117898947298,-67.36401012696692
568.4234593774333,-85.10896562504661
640.1590047207018,-105.0213230500913
713.397824135588,-125.95751298277335
784.9560596967317,-146.9470140982191
860.5684506894098,-169.64506044813518
939.558104421806,-193.87525176373808
1016.5610034185802,-217.96116575892714
1098.7857370717259,-244.1442741004985
1178.9653882170694,-270.1000744994427
1263.6343360308363,-297.92744915299454
1348.272422255127,-326.14137941320166
1434.8096416752535,-355.3679046607495
1523.0480968945908,-385.5356450997972
1612.8242488807332,-416.5823854911166
1704.0022976741777,-448.45373065286697
1798.059414402357,-481.66628700447933
1893.1912451681426,-515.5816224833618
1989.3306440248853,-550.1653878261533
2086.4207805616556,-585.3870764667699
2187.165201145885,-622.2297077343519
2288.591796607481,-659.6074991136984
2391.9712348402554,-697.9826484599307
2495.921863614643,-736.8363530604465
2602.860572993587,-777.0701607031021
2711.396945547288,-818.1630135238174
2821.4408704489624,-860.0775498598571
2932.9127835948866,-902.7798656859953
3045.7421990173543,-946.2391159198468
3160.9191129661517,-990.8357841572205
3278.307398288473,-1036.5188801900208
